,power
698,-0.345
699,-0.331
700,-0.323
701,-0.343
702,-0.401
703,-0.407
704,0.426
705,5.083
706,12.677
707,21.641
708,30.779
709,40.074
710,49.152
711,56.439
712,62.443
713,67.255
714,71.506
715,75.656
716,79.019
717,82.063
718,84.448
719,86.546
720,88.506
721,90.003
722,91.049
723,91.959
724,92.69
725,92.558
726,91.682
727,90.448
728,88.937
729,87.342
730,85.253
731,82.816
732,79.905
733,76.636
734,72.979
735,69.011
736,64.53
737,58.866
738,51.637
739,43.017
740,33.266
741,23.966
742,15.827
743,9.378
744,3.878
745,0.292
746,-0.357
747,-0.428
748,-0.332
749,-0.32
750,-0.327
751,-0.322
752,-0.322
753,-0.32
754,-0.32
755,-0.332
756,-0.325
757,-0.336
758,-0.331
759,-0.336
760,-0.34
761,-0.326
762,-0.337
763,-0.327
764,-0.334
765,-0.331
766,-0.346
767,-0.349
768,-0.343
769,-0.339
770,-0.332
771,-0.344
772,-0.331
773,-0.333
774,-0.336
775,-0.328
776,-0.326
777,-0.333
778,-0.331
779,-0.353
780,-0.336
781,-0.345
782,-0.338
783,-0.334
784,-0.359
785,-0.355
786,-0.346
787,-0.341
788,-0.354
789,-0.349
790,-0.343
791,-0.337
792,-0.333
793,-0.328
794,-0.341
795,-0.336
796,-0.349
797,-0.337
798,-0.405
799,-0.366
800,0.524
801,5.408
802,12.199
803,20.817
804,29.781
805,38.742
806,46.946
807,54.3
808,60.279
809,65.444
810,70.013
811,74.018
812,77.52
813,80.694
814,82.986
815,84.782
816,86.169
817,87.542
818,87.806
819,88.278
820,88.497
821,89.105
822,88.496
823,87.248
824,86.037
825,85.074
826,83.006
827,81.02
828,78.959
829,75.56
830,71.701
831,67.982
832,63.516
833,57.436
834,50.224
835,43.453
836,33.887
837,24.802
838,16.386
839,9.407
840,4.307
841,0.674
842,-0.28
843,-0.473
844,-0.319
845,-0.335
846,-0.329
847,-0.338
848,-0.323
849,-0.33
850,-0.344
851,-0.322
852,-0.315
853,-0.332
854,-0.333
855,-0.323
856,-0.335
857,-0.316
858,-0.311
859,-0.319
860,-0.323
861,-0.32
862,-0.328
863,-0.343
864,-0.329
865,-0.322
866,-0.326
867,-0.323
868,-0.338
869,-0.336
870,-0.335
871,-0.326
872,-0.337
873,-0.331
874,-0.338
875,-0.34
876,-0.322
877,-0.362
878,-0.347
879,-0.342
880,-0.339
881,-0.329
882,-0.339
883,-0.348
884,-0.345
885,-0.353
886,-0.35
887,-0.34
888,-0.336
889,-0.37
890,-0.349
891,-0.362
892,-0.346
893,-0.335
894,-0.412
895,-0.375
896,0.443
897,4.858
898,11.813
899,20.577
900,29.432
901,38.602
902,46.993
903,54.063
904,59.948
905,65.128
906,69.539
907,73.069
908,76.791
909,80.118
910,82.58
911,84.633
912,85.816
913,87.115
914,88.089
915,88.265
916,88.518
917,88.656
918,88.631
919,87.819
920,87.012
921,85.553
922,83.881
923,81.184
924,78.401
925,74.885
926,71.326
927,67.292
928,62.512
929,57.224
930,50.607
931,42.819
932,33.641
933,24.229
934,15.753
935,9.078
936,2.628
937,0.429
938,-0.343
939,-0.477
940,-0.343
941,-0.317
942,-0.328
943,-0.331
944,-0.334
945,-0.332
946,-0.333
947,-0.331
948,-0.329
949,-0.337
950,-0.337
951,-0.335
952,-0.33
953,-0.315
954,-0.32
955,-0.336
956,-0.318
957,-0.33
958,-0.328
959,-0.325
960,-0.343
961,-0.327
962,-0.338
963,-0.35
964,-0.346
965,-0.338
966,-0.344
967,-0.339
968,-0.345
969,-0.35
970,-0.35
971,-0.35
972,-0.341
973,-0.355
974,-0.346
975,-0.342
976,-0.362
977,-0.348
978,-0.366
979,-0.361
980,-0.346
981,-0.362
982,-0.361
983,-0.337
984,-0.357
985,-0.351
986,-0.352
987,-0.35
988,-0.343
989,-0.352
990,-0.344
991,-0.437
992,-0.496
993,-0.452
994,-0.272
995,-0.035
996,0.479
997,1.092
998,1.492
999,1.844
1000,2.109
1001,2.773
1002,3.77
1003,5.553
1004,7.084
1005,7.859
1006,8.46
1007,11.68
1008,9.289
1009,10.452
1010,12.011
1011,13.584
1012,15.427
1013,16.981
1014,19.094
1015,23.376
1016,19.546
1017,17.942
1018,17.286
1019,20.507
1020,18.424
1021,17.334
1022,18.11
1023,19.154
1024,15.845
1025,17.012
1026,16.913
1027,10.817
1028,8.116
1029,5.842
1030,2.916
1031,1.952
